Functional Area,Month,Communications Sent,Month Name,Month Number,Year,System,Type,Response,View
IT,01-01-2021,17307,January,202101,2021,Marketing Cloud,Email,8722,12114
IT,01-01-2021,42015,January,202101,2021,Marketing Cloud,Email,3319,33191
Recruiting,10-01-2020,1029207,October,202010,2020,Marketing Cloud,Email,441529,566063
Recruiting,12-01-2020,87671,December,202012,2020,Marketing Cloud,Email,19375,74520
Academic Affairs,12-01-2020,125000,December,202012,2020,Marketing Cloud,Email,32375,43750
Student Affairs,11-01-2020,167464,November,202011,2020,Marketing Cloud,Email,11052,33492
Recruiting,01-01-2021,17307,January,202101,2021,Marketing Cloud,Email,882,2596
UCM,08-01-2020,700000,August,202008,2020,Marketing Cloud,Email,29400,70000
Recruiting,11-01-2020,31377,November,202011,2020,Marketing Cloud,Email,10736,18198
Academic Affairs,08-01-2020,27782,August,202008,2020,Marketing Cloud,Email,4269,14724
UCM,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,1562,11161
Student Affairs,09-01-2020,700000,September,202009,2020,Constant Contact,Email,263200,560000
Academic Affairs,01-01-2021,100,January,202101,2021,Marketing Cloud,Email,33,87
Student Affairs,01-01-2021,19871,January,202101,2021,Marketing Cloud,Email,8087,10929
WKSU,12-01-2020,259644,December,202012,2020,Cognos Report to Email,Email,13501,51928
WKSU,11-01-2020,136769,November,202011,2020,Marketing Cloud,Email,9778,15044
WKSU,01-01-2021,182327,January,202101,2021,Constant Contact,Email,93205,131275
Student Affairs,10-01-2020,1271250,October,202010,2020,Marketing Cloud,Email,70554,190687
Recruiting,01-01-2021,136769,January,202101,2021,Marketing Cloud,Email,62038,73855
Recruiting,09-01-2020,19871,September,202009,2020,Marketing Cloud,Email,1237,17685
Recruiting,10-01-2020,31377,October,202010,2020,Marketing Cloud,Email,5183,8785
Recruiting,08-01-2020,38603,August,202008,2020,TargetX Messaging,Text Message,9734,10036
UCM,09-01-2020,1549831,September,202009,2020,Marketing Cloud,Email,843107,991891
Recruiting,12-01-2020,245595,December,202012,2020,Marketing Cloud,Email,36397,93326
IT,08-01-2020,40000,August,202008,2020,Marketing Cloud,Email,656,16400
Student Affairs,01-01-2021,49861,January,202101,2021,Marketing Cloud,Email,4018,6481
Human Resources,09-01-2020,17307,September,202009,2020,Marketing Cloud,Email,11795,16614
UCM,01-01-2021,136769,January,202101,2021,Marketing Cloud,Email,18381,65649
Recruiting,12-01-2020,39863,December,202012,2020,Marketing Cloud,Email,16698,23519
Student Affairs,12-01-2020,245595,December,202012,2020,TargetX Messaging,Text Message,104549,243139
UCM,11-01-2020,47,November,202011,2020,Marketing Cloud,Email,9,45
Recruiting,08-01-2020,141779,August,202008,2020,Marketing Cloud,Email,50345,75142
IT,01-01-2021,27782,January,202101,2021,Marketing Cloud,Email,4442,11390
Student Affairs,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,124,231
Student Affairs,11-01-2020,80283,November,202011,2020,Marketing Cloud,Email,1910,27296
Human Resources,10-01-2020,47,October,202010,2020,Marketing Cloud,Email,12,43
Student Affairs,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,26078,79027
WKSU,11-01-2020,245595,November,202011,2020,Marketing Cloud,Email,159931,181740
Recruiting,09-01-2020,100,September,202009,2020,Marketing Cloud,Email,31,94
Human Resources,10-01-2020,92268,October,202010,2020,Marketing Cloud,Email,2250,3690
IT,11-01-2020,182327,November,202011,2020,Marketing Cloud,Email,51908,71107
Human Resources,12-01-2020,125000,December,202012,2020,Marketing Cloud,Email,30400,80000
Recruiting,10-01-2020,47,October,202010,2020,Marketing Cloud,Email,37,41
UCM,01-01-2021,47428,January,202101,2021,Marketing Cloud,Email,882,44108
UCM,08-01-2020,106010,August,202008,2020,Marketing Cloud,Email,2035,3180
Academic Affairs,10-01-2020,49861,October,202010,2020,Marketing Cloud,Email,6252,9473
UCM,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,14878,38151
Recruiting,11-01-2020,355184,November,202011,2020,TargetX Messaging,Text Message,60025,230869
WKSU,10-01-2020,141779,October,202010,2020,Marketing Cloud,Email,368,1417
Academic Affairs,08-01-2020,355184,August,202008,2020,Marketing Cloud,Email,90252,273491
Human Resources,01-01-2021,723568,January,202101,2021,Marketing Cloud,Email,17872,137477
Academic Affairs,12-01-2020,38603,December,202012,2020,Marketing Cloud,Email,636,4246
Academic Affairs,09-01-2020,1029207,September,202009,2020,Marketing Cloud,Email,265123,576355
IT,01-01-2021,42015,January,202101,2021,Marketing Cloud,Email,2474,7982
IT,01-01-2021,36157,January,202101,2021,Phone,Phone Call,12401,25309
WKSU,01-01-2021,19871,January,202101,2021,Marketing Cloud,Email,8591,18678
Academic Affairs,01-01-2021,350000,January,202101,2021,Marketing Cloud,Email,2415,3500
Student Affairs,08-01-2020,47,August,202008,2020,Marketing Cloud,Email,3,8
Human Resources,10-01-2020,1029207,October,202010,2020,Marketing Cloud,Email,9262,20584
Recruiting,10-01-2020,11590,October,202010,2020,Marketing Cloud,Email,412,463
WKSU,08-01-2020,19871,August,202008,2020,Marketing Cloud,Email,13967,19672
Human Resources,01-01-2021,141779,January,202101,2021,Marketing Cloud,Email,12051,48204
WKSU,09-01-2020,373,September,202009,2020,Marketing Cloud,Email,95,115
Recruiting,01-01-2021,19871,January,202101,2021,Phone,Phone Call,3409,15499
Recruiting,08-01-2020,20217,August,202008,2020,Cognos Report to Email,Email,10644,13141
IT,08-01-2020,38603,August,202008,2020,Marketing Cloud,Email,10499,30882
Academic Affairs,10-01-2020,500000,October,202010,2020,Marketing Cloud,Email,465300,470000
Academic Affairs,08-01-2020,39863,August,202008,2020,TargetX Email,Email,2009,33484
UCM,01-01-2021,38603,January,202101,2021,Marketing Cloud,Email,27234,32040
Student Affairs,01-01-2021,47428,January,202101,2021,Constant Contact,Email,4908,10908
WKSU,10-01-2020,350000,October,202010,2020,Marketing Cloud,Email,141750,283500
Recruiting,11-01-2020,106010,November,202011,2020,Marketing Cloud,Email,23661,38163
UCM,01-01-2021,34478,January,202101,2021,Marketing Cloud,Email,11729,21721
Human Resources,12-01-2020,136769,December,202012,2020,Constant Contact,Email,21253,28721
Recruiting,12-01-2020,0,December,202012,2020,Marketing Cloud,Email,0,0
Recruiting,01-01-2021,17131,January,202101,2021,Marketing Cloud,Email,3201,3597
Recruiting,01-01-2021,58502,January,202101,2021,Phone,Phone Call,34808,49726
IT,10-01-2020,20217,October,202010,2020,Phone,Phone Call,3111,3841
Recruiting,09-01-2020,74152,September,202009,2020,Marketing Cloud,Email,10084,11864
Recruiting,01-01-2021,34478,January,202101,2021,Phone,Phone Call,5157,11722
UCM,08-01-2020,87671,August,202008,2020,Marketing Cloud,Email,12887,26301
Student Affairs,08-01-2020,700000,August,202008,2020,Marketing Cloud,Email,217140,329000
Student Affairs,01-01-2021,723568,January,202101,2021,Marketing Cloud,Email,165986,448612
Student Affairs,09-01-2020,259644,September,202009,2020,Marketing Cloud,Email,22173,36350
Student Affairs,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,600,1622
WKSU,12-01-2020,136769,December,202012,2020,Marketing Cloud,Email,79599,82061
Student Affairs,12-01-2020,500000,December,202012,2020,Phone,Phone Call,122100,330000
Recruiting,10-01-2020,182327,October,202010,2020,Marketing Cloud,Email,91253,100279
Student Affairs,10-01-2020,500000,October,202010,2020,Marketing Cloud,Email,92750,175000
Academic Affairs,10-01-2020,3432,October,202010,2020,Phone,Phone Call,782,1956
Recruiting,09-01-2020,141779,September,202009,2020,Marketing Cloud,Email,69244,104916
WKSU,10-01-2020,246,October,202010,2020,Marketing Cloud,Email,36,66
Academic Affairs,12-01-2020,49861,December,202012,2020,Marketing Cloud,Email,9353,33406
Student Affairs,09-01-2020,1029207,September,202009,2020,Marketing Cloud,Email,6484,648400
Recruiting,08-01-2020,36625,August,202008,2020,Marketing Cloud,Email,26402,32596
Human Resources,01-01-2021,17131,January,202101,2021,Marketing Cloud,Email,452,15075
UCM,11-01-2020,31377,November,202011,2020,Marketing Cloud,Email,407,8158
WKSU,12-01-2020,92268,December,202012,2020,TargetX Messaging,Text Message,47093,81195
Human Resources,12-01-2020,141779,December,202012,2020,Marketing Cloud,Email,12051,120512
Recruiting,01-01-2021,36157,January,202101,2021,Marketing Cloud,Email,303,10123
Recruiting,11-01-2020,38603,November,202011,2020,Marketing Cloud,Email,1659,33198
IT,12-01-2020,1006194,December,202012,2020,Marketing Cloud,Email,288777,825079
Recruiting,11-01-2020,17131,November,202011,2020,Marketing Cloud,Email,3861,3940
WKSU,12-01-2020,106010,December,202012,2020,TargetX Messaging,Text Message,24116,26502
WKSU,10-01-2020,17307,October,202010,2020,Marketing Cloud,Email,2907,13845
UCM,08-01-2020,11590,August,202008,2020,Marketing Cloud,Email,35,115
Academic Affairs,08-01-2020,27782,August,202008,2020,Marketing Cloud,Email,3250,25003
UCM,01-01-2021,125000,January,202101,2021,Flashline,Portal Alert,62500,125000
Human Resources,11-01-2020,42015,November,202011,2020,Marketing Cloud,Email,1680,3361
Recruiting,10-01-2020,700000,October,202010,2020,Marketing Cloud,Email,6160,56000
Recruiting,10-01-2020,1271250,October,202010,2020,Marketing Cloud,Email,503414,572062
Human Resources,08-01-2020,167464,August,202008,2020,Constant Contact,Email,13095,38516
UCM,12-01-2020,74152,December,202012,2020,Marketing Cloud,Email,33101,53389
Human Resources,10-01-2020,0,October,202010,2020,Flashline,Portal Alert,0,0
Recruiting,08-01-2020,80283,August,202008,2020,Marketing Cloud,Email,6863,12042
Recruiting,10-01-2020,1029207,October,202010,2020,Marketing Cloud,Email,948104,967454
IT,01-01-2021,350000,January,202101,2021,Marketing Cloud,Email,282940,329000
Human Resources,09-01-2020,700000,September,202009,2020,Marketing Cloud,Email,30940,119000
IT,01-01-2021,17131,January,202101,2021,Marketing Cloud,Email,9099,10963
Student Affairs,08-01-2020,42015,August,202008,2020,Marketing Cloud,Email,19007,24368
IT,08-01-2020,500000,August,202008,2020,Marketing Cloud,Email,117000,390000
Academic Affairs,08-01-2020,38603,August,202008,2020,Marketing Cloud,Email,2377,8492
Academic Affairs,09-01-2020,38603,September,202009,2020,Marketing Cloud,Email,16213,28952
Student Affairs,10-01-2020,36157,October,202010,2020,Marketing Cloud,Email,22373,32902
WKSU,12-01-2020,355184,December,202012,2020,Marketing Cloud,Email,196913,255732
WKSU,10-01-2020,182327,October,202010,2020,Phone,Phone Call,49173,169564
Student Affairs,09-01-2020,31377,September,202009,2020,TargetX Messaging,Text Message,517,4706
Academic Affairs,11-01-2020,500000,November,202011,2020,Marketing Cloud,Email,26950,55000
WKSU,10-01-2020,11590,October,202010,2020,Marketing Cloud,Email,3477,3477
Recruiting,10-01-2020,34478,October,202010,2020,Marketing Cloud,Email,1481,1723
Academic Affairs,12-01-2020,47,December,202012,2020,Marketing Cloud,Email,9,21
Academic Affairs,12-01-2020,20217,December,202012,2020,Marketing Cloud,Email,1140,1213
Recruiting,01-01-2021,125000,January,202101,2021,Marketing Cloud,Email,95450,115000
Recruiting,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,116306,119904
UCM,08-01-2020,11590,August,202008,2020,Marketing Cloud,Email,129,927
Student Affairs,11-01-2020,700000,November,202011,2020,TargetX Messaging,Text Message,26390,91000
IT,01-01-2021,246,January,202101,2021,Marketing Cloud,Email,23,66
Recruiting,12-01-2020,1029207,December,202012,2020,Constant Contact,Email,435354,926286
Student Affairs,01-01-2021,500000,January,202101,2021,Marketing Cloud,Email,236500,275000
Academic Affairs,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,20601,73577
Recruiting,09-01-2020,47428,September,202009,2020,Marketing Cloud,Email,12236,40788
Recruiting,11-01-2020,700000,November,202011,2020,Marketing Cloud,Email,631470,679000
Student Affairs,01-01-2021,1379954,January,202101,2021,Marketing Cloud,Email,648578,648578
Recruiting,01-01-2021,136255,January,202101,2021,TargetX Messaging,Text Message,64747,65402
Student Affairs,01-01-2021,1549831,January,202101,2021,Marketing Cloud,Email,317715,774915
Recruiting,11-01-2020,36157,November,202011,2020,Marketing Cloud,Email,5857,19524
WKSU,09-01-2020,27782,September,202009,2020,TargetX Messaging,Text Message,2966,3333
IT,08-01-2020,27782,August,202008,2020,Marketing Cloud,Email,15212,20558
Academic Affairs,10-01-2020,1271250,October,202010,2020,Marketing Cloud,Email,1041153,1156837
IT,01-01-2021,74152,January,202101,2021,Marketing Cloud,Email,2254,2966
UCM,12-01-2020,182327,December,202012,2020,Marketing Cloud,Email,66020,129452
Academic Affairs,09-01-2020,500000,September,202009,2020,Marketing Cloud,Email,222950,245000
Human Resources,01-01-2021,74152,January,202101,2021,Flashline,Portal Alert,4330,5932
WKSU,01-01-2021,1029207,January,202101,2021,Marketing Cloud,Email,1235,10292
IT,09-01-2020,36625,September,202009,2020,Marketing Cloud,Email,7383,8790
IT,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,1926,16056
UCM,11-01-2020,80283,November,202011,2020,Marketing Cloud,Email,770,25690
UCM,01-01-2021,38603,January,202101,2021,Marketing Cloud,Email,6925,17757
Student Affairs,08-01-2020,141779,August,202008,2020,Marketing Cloud,Email,10278,41115
Recruiting,12-01-2020,1549831,December,202012,2020,Marketing Cloud,Email,465414,511444
Academic Affairs,11-01-2020,3432,November,202011,2020,Marketing Cloud,Email,626,720
WKSU,08-01-2020,58502,August,202008,2020,Marketing Cloud,Email,15397,54991
Recruiting,01-01-2021,19871,January,202101,2021,Cognos Report to Email,Email,3918,5762
Recruiting,01-01-2021,106010,January,202101,2021,Marketing Cloud,Email,11661,21202
Student Affairs,01-01-2021,47,January,202101,2021,Marketing Cloud,Email,9,18
IT,01-01-2021,167464,January,202101,2021,Marketing Cloud,Email,60353,113875
UCM,11-01-2020,355184,November,202011,2020,Marketing Cloud,Email,220782,262836
Student Affairs,09-01-2020,350000,September,202009,2020,Marketing Cloud,Email,171570,199500
Human Resources,09-01-2020,500000,September,202009,2020,Marketing Cloud,Email,173850,305000
Academic Affairs,08-01-2020,373,August,202008,2020,Marketing Cloud,Email,0,74
Student Affairs,12-01-2020,47,December,202012,2020,Marketing Cloud,Email,3,6
Human Resources,08-01-2020,87671,August,202008,2020,Cognos Report to Email,Email,4620,27178
Recruiting,09-01-2020,136255,September,202009,2020,Marketing Cloud,Email,83878,110366
Student Affairs,09-01-2020,80283,September,202009,2020,Marketing Cloud,Email,16473,21676
IT,11-01-2020,246,November,202011,2020,Marketing Cloud,Email,95,95
WKSU,10-01-2020,80283,October,202010,2020,TargetX Email,Email,40261,47366
WKSU,10-01-2020,350000,October,202010,2020,Marketing Cloud,Email,123410,150500
Human Resources,08-01-2020,167464,August,202008,2020,Marketing Cloud,Email,128109,150717
Student Affairs,09-01-2020,1006194,September,202009,2020,Phone,Phone Call,388793,462849
Recruiting,12-01-2020,0,December,202012,2020,Marketing Cloud,Email,0,0
Recruiting,01-01-2021,40000,January,202101,2021,TargetX Email,Email,26864,29200
UCM,11-01-2020,1549831,November,202011,2020,TargetX Messaging,Text Message,294467,309966
WKSU,10-01-2020,17131,October,202010,2020,Marketing Cloud,Email,4035,5310
Human Resources,10-01-2020,246,October,202010,2020,Marketing Cloud,Email,16,49
Human Resources,12-01-2020,92268,December,202012,2020,Marketing Cloud,Email,20870,53515
Student Affairs,09-01-2020,355184,September,202009,2020,Marketing Cloud,Email,115647,312561
Academic Affairs,12-01-2020,38603,December,202012,2020,Marketing Cloud,Email,5002,9264
Recruiting,01-01-2021,259644,January,202101,2021,Marketing Cloud,Email,23679,62314
UCM,01-01-2021,1006194,January,202101,2021,Marketing Cloud,Email,44775,50309
Academic Affairs,10-01-2020,31377,October,202010,2020,Marketing Cloud,Email,6036,23218
Human Resources,01-01-2021,355184,January,202101,2021,Marketing Cloud,Email,45818,106555
Human Resources,12-01-2020,700000,December,202012,2020,Marketing Cloud,Email,282030,357000
Academic Affairs,10-01-2020,17131,October,202010,2020,Marketing Cloud,Email,5532,5824
Student Affairs,01-01-2021,27782,January,202101,2021,Marketing Cloud,Email,5167,16669
Recruiting,11-01-2020,125000,November,202011,2020,Marketing Cloud,Email,11825,53750
Academic Affairs,09-01-2020,136769,September,202009,2020,Marketing Cloud,Email,76439,110782
Recruiting,09-01-2020,182327,September,202009,2020,Marketing Cloud,Email,92256,100279
Recruiting,01-01-2021,106010,January,202101,2021,Marketing Cloud,Email,20968,91168
Human Resources,09-01-2020,167464,September,202009,2020,Marketing Cloud,Email,78708,167464
Recruiting,09-01-2020,20217,September,202009,2020,Marketing Cloud,Email,2989,10310
Academic Affairs,01-01-2021,49861,January,202101,2021,TargetX Messaging,Text Message,11846,11966
Recruiting,01-01-2021,49861,January,202101,2021,Marketing Cloud,Email,11817,39390
Recruiting,01-01-2021,27782,January,202101,2021,TargetX Messaging,Text Message,4445,27782
Human Resources,01-01-2021,1549831,January,202101,2021,Cognos Report to Email,Email,69432,108488
Student Affairs,08-01-2020,92268,August,202008,2020,Marketing Cloud,Email,14762,36907
Student Affairs,08-01-2020,136769,August,202008,2020,Marketing Cloud,Email,23250,93002
WKSU,10-01-2020,47,October,202010,2020,Cognos Report to Email,Email,4,28
Recruiting,10-01-2020,87671,October,202010,2020,Marketing Cloud,Email,2577,6136
Academic Affairs,01-01-2021,106010,January,202101,2021,Marketing Cloud,Email,9646,14841
Academic Affairs,08-01-2020,500000,August,202008,2020,Marketing Cloud,Email,298200,355000
Human Resources,01-01-2021,100,January,202101,2021,Marketing Cloud,Email,0,9
Student Affairs,11-01-2020,20217,November,202011,2020,Marketing Cloud,Email,2405,6873
WKSU,12-01-2020,259644,December,202012,2020,Marketing Cloud,Email,104532,171365
UCM,12-01-2020,39863,December,202012,2020,Marketing Cloud,Email,6134,22721
Student Affairs,12-01-2020,723568,December,202012,2020,Marketing Cloud,Email,87913,586090
UCM,01-01-2021,87671,January,202101,2021,Marketing Cloud,Email,9625,15780
Recruiting,11-01-2020,350000,November,202011,2020,Marketing Cloud,Email,6090,10500
Student Affairs,08-01-2020,355184,August,202008,2020,Marketing Cloud,Email,147046,326769
Human Resources,09-01-2020,58502,September,202009,2020,Marketing Cloud,Email,122,1755
Student Affairs,11-01-2020,182327,November,202011,2020,Marketing Cloud,Email,102613,153154
Recruiting,09-01-2020,167464,September,202009,2020,Marketing Cloud,Email,18421,73684
WKSU,09-01-2020,27782,September,202009,2020,Marketing Cloud,Email,6597,6945
Student Affairs,09-01-2020,17131,September,202009,2020,Marketing Cloud,Email,282,2569
Recruiting,08-01-2020,167464,August,202008,2020,Marketing Cloud,Email,127004,160765
Student Affairs,11-01-2020,34478,November,202011,2020,Marketing Cloud,Email,2109,5861
WKSU,11-01-2020,182327,November,202011,2020,Marketing Cloud,Email,49009,153154
UCM,09-01-2020,17307,September,202009,2020,Marketing Cloud,Email,1384,6922
Recruiting,08-01-2020,36625,August,202008,2020,Marketing Cloud,Email,17843,21242
UCM,01-01-2021,39863,January,202101,2021,Marketing Cloud,Email,10906,30295
Recruiting,12-01-2020,74152,December,202012,2020,Phone,Phone Call,10121,28919
Student Affairs,08-01-2020,74152,August,202008,2020,Marketing Cloud,Email,26101,40783
UCM,12-01-2020,106010,December,202012,2020,Marketing Cloud,Email,2840,4240
WKSU,12-01-2020,87671,December,202012,2020,Marketing Cloud,Email,27922,42958
Recruiting,12-01-2020,39863,December,202012,2020,Marketing Cloud,Email,2100,6776
Academic Affairs,09-01-2020,36625,September,202009,2020,Marketing Cloud,Email,9669,32230
Recruiting,08-01-2020,500000,August,202008,2020,Flashline,Portal Alert,9000,75000
WKSU,09-01-2020,17307,September,202009,2020,Marketing Cloud,Email,1671,2422
Recruiting,09-01-2020,1029207,September,202009,2020,Marketing Cloud,Email,337579,421974
WKSU,11-01-2020,106010,November,202011,2020,Marketing Cloud,Email,80069,87988
IT,12-01-2020,246,December,202012,2020,Marketing Cloud,Email,28,73
IT,01-01-2021,167464,January,202101,2021,Marketing Cloud,Email,116722,137320
WKSU,08-01-2020,1379954,August,202008,2020,Marketing Cloud,Email,577234,648578
UCM,01-01-2021,102360,January,202101,2021,Marketing Cloud,Email,63953,90076
WKSU,09-01-2020,47428,September,202009,2020,Marketing Cloud,Email,2475,13754
IT,01-01-2021,259644,January,202101,2021,Marketing Cloud,Email,188293,192136
IT,11-01-2020,80283,November,202011,2020,Marketing Cloud,Email,29896,39338
Human Resources,01-01-2021,136255,January,202101,2021,Marketing Cloud,Email,45781,65402
Student Affairs,12-01-2020,11590,December,202012,2020,Marketing Cloud,Email,6807,7649
Academic Affairs,10-01-2020,19871,October,202010,2020,Marketing Cloud,Email,11168,14505
Recruiting,01-01-2021,0,January,202101,2021,Marketing Cloud,Email,0,0
Human Resources,09-01-2020,1029207,September,202009,2020,Marketing Cloud,Email,351988,782197
Recruiting,08-01-2020,136769,August,202008,2020,Marketing Cloud,Email,13403,38295
UCM,10-01-2020,125000,October,202010,2020,Marketing Cloud,Email,92812,93750
Student Affairs,10-01-2020,36625,October,202010,2020,Marketing Cloud,Email,14100,28201
Academic Affairs,09-01-2020,74152,September,202009,2020,Marketing Cloud,Email,47234,67478
IT,12-01-2020,36625,December,202012,2020,Marketing Cloud,Email,5896,8423
IT,11-01-2020,80283,November,202011,2020,Marketing Cloud,Email,4800,20873
Student Affairs,11-01-2020,17131,November,202011,2020,Flashline,Portal Alert,10792,10792
WKSU,11-01-2020,38603,November,202011,2020,Marketing Cloud,Email,22428,27022
Student Affairs,09-01-2020,246,September,202009,2020,Marketing Cloud,Email,160,189
WKSU,11-01-2020,17131,November,202011,2020,Marketing Cloud,Email,993,4967
Human Resources,10-01-2020,700000,October,202010,2020,Phone,Phone Call,136500,182000
Human Resources,09-01-2020,373,September,202009,2020,Marketing Cloud,Email,172,279
UCM,09-01-2020,47,September,202009,2020,Cognos Report to Email,Email,5,25
Student Affairs,12-01-2020,49861,December,202012,2020,Marketing Cloud,Email,17202,22936
Recruiting,01-01-2021,182327,January,202101,2021,TargetX Email,Email,78217,118512
Student Affairs,08-01-2020,17307,August,202008,2020,Marketing Cloud,Email,7324,7961
IT,11-01-2020,31377,November,202011,2020,Marketing Cloud,Email,15945,20708
Academic Affairs,09-01-2020,167464,September,202009,2020,Marketing Cloud,Email,34999,159090
Recruiting,01-01-2021,167464,January,202101,2021,Marketing Cloud,Email,80030,135645
IT,01-01-2021,141779,January,202101,2021,Marketing Cloud,Email,6379,7088
IT,10-01-2020,92268,October,202010,2020,Marketing Cloud,Email,22190,34139
Human Resources,10-01-2020,1379954,October,202010,2020,Marketing Cloud,Email,4967,55198
Human Resources,10-01-2020,3432,October,202010,2020,Marketing Cloud,Email,263,2196
UCM,11-01-2020,100,November,202011,2020,Marketing Cloud,Email,15,58
WKSU,12-01-2020,36157,December,202012,2020,Marketing Cloud,Email,7086,17716
Academic Affairs,11-01-2020,355184,November,202011,2020,Marketing Cloud,Email,247633,294802
IT,10-01-2020,87671,October,202010,2020,Marketing Cloud,Email,692,876
IT,09-01-2020,39863,September,202009,2020,Marketing Cloud,Email,3746,7972
Student Affairs,11-01-2020,1271250,November,202011,2020,Marketing Cloud,Email,432225,635625
UCM,10-01-2020,80283,October,202010,2020,Marketing Cloud,Email,3291,8028
IT,12-01-2020,1549831,December,202012,2020,TargetX Messaging,Text Message,974843,1317356
IT,10-01-2020,34478,October,202010,2020,Marketing Cloud,Email,8405,15859
WKSU,10-01-2020,36157,October,202010,2020,Marketing Cloud,Email,2577,8316
Recruiting,10-01-2020,39863,October,202010,2020,Marketing Cloud,Email,11121,24715
IT,10-01-2020,102360,October,202010,2020,Marketing Cloud,Email,88489,93147
Recruiting,01-01-2021,355184,January,202101,2021,Marketing Cloud,Email,2663,88796
Human Resources,11-01-2020,47,November,202011,2020,Marketing Cloud,Email,3,21
Human Resources,11-01-2020,246,November,202011,2020,Marketing Cloud,Email,95,125
Human Resources,01-01-2021,47,January,202101,2021,Constant Contact,Email,10,13
Academic Affairs,10-01-2020,182327,October,202010,2020,Marketing Cloud,Email,117782,154977
Student Affairs,10-01-2020,20217,October,202010,2020,Marketing Cloud,Email,13088,16780
Human Resources,08-01-2020,20217,August,202008,2020,Marketing Cloud,Email,5761,15162
Recruiting,09-01-2020,47,September,202009,2020,Cognos Report to Email,Email,19,21
UCM,01-01-2021,1271250,January,202101,2021,Marketing Cloud,Email,219672,915300
UCM,08-01-2020,106010,August,202008,2020,Marketing Cloud,Email,3763,5300
Academic Affairs,12-01-2020,259644,December,202012,2020,Marketing Cloud,Email,106454,129822
IT,09-01-2020,141779,September,202009,2020,Marketing Cloud,Email,67387,137525
Human Resources,09-01-2020,20217,September,202009,2020,Marketing Cloud,Email,278,9299
Human Resources,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,4404,8808
Academic Affairs,01-01-2021,19871,January,202101,2021,Constant Contact,Email,1232,12320
Academic Affairs,08-01-2020,17307,August,202008,2020,Marketing Cloud,Email,581,2769
UCM,01-01-2021,259644,January,202101,2021,Marketing Cloud,Email,84254,142804
UCM,01-01-2021,11590,January,202101,2021,Marketing Cloud,Email,1644,4983
Academic Affairs,09-01-2020,106010,September,202009,2020,Marketing Cloud,Email,6445,80567
Student Affairs,09-01-2020,27782,September,202009,2020,Marketing Cloud,Email,7759,13613
Student Affairs,01-01-2021,47,January,202101,2021,Cognos Report to Email,Email,11,18
