Functional Area,Month,Communications Sent,Month Name,Month Number,Year,System,Type,Response,View
Academic Affairs,1/1/21,47428,January,202101,2021,Marketing Cloud,Email,13,31
Recruiting,1/1/21,167464,January,202101,2021,Marketing Cloud,Email,15,24
Recruiting,1/1/21,42015,January,202101,2021,Marketing Cloud,Email,27,69
Academic Affairs,8/1/20,36625,August,202008,2020,Marketing Cloud,Email,36,53
Recruiting,8/1/20,87671,August,202008,2020,Marketing Cloud,Email,15,44
IT,10/1/20,102360,October,202010,2020,Marketing Cloud,Email,25,32
Human Resources,10/1/20,1029207,October,202010,2020,Marketing Cloud,Email,19,56
UCM,12/1/20,20217,December,202012,2020,Marketing Cloud,Email,2,13
Academic Affairs,8/1/20,39863,August,202008,2020,Marketing Cloud,Email,28,87
IT,1/1/21,47428,January,202101,2021,Marketing Cloud,Email,12,61
Academic Affairs,8/1/20,355184,August,202008,2020,Marketing Cloud,Email,13,52
Human Resources,1/1/21,0,January,202101,2021,Marketing Cloud,Email,47,47
Student Affairs,10/1/20,125000,October,202010,2020,Flashline,Portal Alert,22,24
IT,9/1/20,42015,September,202009,2020,Marketing Cloud,Email,15,25
Academic Affairs,11/1/20,350000,November,202011,2020,Marketing Cloud,Email,7,91
Human Resources,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,18,22
UCM,12/1/20,92268,December,202012,2020,Cognos Report to Email,Email,42,74
Academic Affairs,9/1/20,17307,September,202009,2020,Marketing Cloud,Email,49,62
UCM,8/1/20,1029207,August,202008,2020,Marketing Cloud,Email,10,66
Student Affairs,12/1/20,87671,December,202012,2020,Marketing Cloud,Email,2,25
Recruiting,1/1/21,20217,January,202101,2021,Marketing Cloud,Email,13,19
Recruiting,11/1/20,1006194,November,202011,2020,Marketing Cloud,Email,49,75
UCM,11/1/20,34478,November,202011,2020,Marketing Cloud,Email,3,11
Recruiting,10/1/20,31377,October,202010,2020,Marketing Cloud,Email,46,50
Recruiting,11/1/20,27782,November,202011,2020,TargetX Email,Email,74,87
Recruiting,11/1/20,31377,November,202011,2020,Marketing Cloud,Email,28,77
Student Affairs,11/1/20,42015,November,202011,2020,Marketing Cloud,Email,82,83
UCM,11/1/20,246,November,202011,2020,Marketing Cloud,Email,4,68
Recruiting,1/1/21,1029207,January,202101,2021,TargetX Email,Email,16,24
Human Resources,8/1/20,355184,August,202008,2020,Marketing Cloud,Email,2,88
WKSU,1/1/21,355184,January,202101,2021,Marketing Cloud,Email,25,25
UCM,10/1/20,182327,October,202010,2020,Marketing Cloud,Email,63,82
Academic Affairs,12/1/20,141779,December,202012,2020,Marketing Cloud,Email,48,85
Human Resources,10/1/20,167464,October,202010,2020,Marketing Cloud,Email,28,91
Academic Affairs,10/1/20,27782,October,202010,2020,Marketing Cloud,Email,3,3
Recruiting,8/1/20,373,August,202008,2020,Marketing Cloud,Email,61,95
Student Affairs,8/1/20,74152,August,202008,2020,Marketing Cloud,Email,9,15
Human Resources,9/1/20,1006194,September,202009,2020,Marketing Cloud,Email,6,9
WKSU,1/1/21,27782,January,202101,2021,Marketing Cloud,Email,6,12
Student Affairs,12/1/20,0,December,202012,2020,Marketing Cloud,Email,0,16
Recruiting,9/1/20,42015,September,202009,2020,Marketing Cloud,Email,47,62
Student Affairs,10/1/20,1379954,October,202010,2020,Marketing Cloud,Email,46,53
UCM,1/1/21,49861,January,202101,2021,Marketing Cloud,Email,16,27
Academic Affairs,11/1/20,42015,November,202011,2020,Constant Contact,Email,11,17
UCM,12/1/20,34478,December,202012,2020,Marketing Cloud,Email,28,42
Human Resources,11/1/20,167464,November,202011,2020,Marketing Cloud,Email,64,78
UCM,12/1/20,58502,December,202012,2020,Marketing Cloud,Email,35,38
WKSU,1/1/21,1006194,January,202101,2021,Marketing Cloud,Email,5,5
Recruiting,10/1/20,1006194,October,202010,2020,Marketing Cloud,Email,7,93
Recruiting,8/1/20,1029207,August,202008,2020,Marketing Cloud,Email,14,24
WKSU,10/1/20,125000,October,202010,2020,Marketing Cloud,Email,25,91
Recruiting,1/1/21,0,January,202101,2021,Marketing Cloud,Email,6,78
Recruiting,1/1/21,141779,January,202101,2021,Marketing Cloud,Email,42,72
Academic Affairs,11/1/20,42015,November,202011,2020,Marketing Cloud,Email,2,63
Student Affairs,1/1/21,11590,January,202101,2021,Marketing Cloud,Email,61,76
Recruiting,11/1/20,58502,November,202011,2020,Marketing Cloud,Email,34,88
Academic Affairs,8/1/20,141779,August,202008,2020,Marketing Cloud,Email,7,15
WKSU,8/1/20,167464,August,202008,2020,Marketing Cloud,Email,29,75
IT,1/1/21,373,January,202101,2021,Marketing Cloud,Email,39,76
WKSU,8/1/20,40000,August,202008,2020,Marketing Cloud,Email,0,11
Academic Affairs,1/1/21,27782,January,202101,2021,Marketing Cloud,Email,3,3
Human Resources,8/1/20,17131,August,202008,2020,Marketing Cloud,Email,19,20
Recruiting,1/1/21,34478,January,202101,2021,Marketing Cloud,Email,21,28
UCM,8/1/20,0,August,202008,2020,Marketing Cloud,Email,44,46
Student Affairs,9/1/20,1271250,September,202009,2020,Marketing Cloud,Email,13,67
WKSU,8/1/20,17307,August,202008,2020,Marketing Cloud,Email,0,8
Academic Affairs,1/1/21,1379954,January,202101,2021,Marketing Cloud,Email,7,70
WKSU,1/1/21,31377,January,202101,2021,Marketing Cloud,Email,1,13
UCM,10/1/20,3432,October,202010,2020,Marketing Cloud,Email,64,75
Recruiting,8/1/20,27782,August,202008,2020,Marketing Cloud,Email,6,38
UCM,12/1/20,350000,December,202012,2020,Marketing Cloud,Email,10,14
Human Resources,9/1/20,31377,September,202009,2020,Marketing Cloud,Email,38,54
Academic Affairs,8/1/20,40000,August,202008,2020,Marketing Cloud,Email,31,64
Recruiting,1/1/21,58502,January,202101,2021,Marketing Cloud,Email,8,29
Academic Affairs,1/1/21,42015,January,202101,2021,Marketing Cloud,Email,9,14
Recruiting,10/1/20,136255,October,202010,2020,Phone,Phone Call,5,41
Recruiting,12/1/20,87671,December,202012,2020,Marketing Cloud,Email,18,30
Academic Affairs,11/1/20,723568,November,202011,2020,Marketing Cloud,Email,20,52
Recruiting,11/1/20,36157,November,202011,2020,Marketing Cloud,Email,0,40
Human Resources,8/1/20,36625,August,202008,2020,Marketing Cloud,Email,22,56
WKSU,1/1/21,3432,January,202101,2021,Marketing Cloud,Email,9,13
Academic Affairs,12/1/20,182327,December,202012,2020,Marketing Cloud,Email,21,54
Human Resources,1/1/21,1271250,January,202101,2021,Marketing Cloud,Email,5,37
UCM,8/1/20,38603,August,202008,2020,Marketing Cloud,Email,24,75
Recruiting,1/1/21,1271250,January,202101,2021,Phone,Phone Call,9,12
IT,1/1/21,355184,January,202101,2021,Marketing Cloud,Email,1,1
Human Resources,8/1/20,1379954,August,202008,2020,Marketing Cloud,Email,24,70
Recruiting,1/1/21,17307,January,202101,2021,Marketing Cloud,Email,13,37
Student Affairs,12/1/20,92268,December,202012,2020,Marketing Cloud,Email,5,5
WKSU,10/1/20,20217,October,202010,2020,Marketing Cloud,Email,26,30
Recruiting,9/1/20,36625,September,202009,2020,Marketing Cloud,Email,0,21
WKSU,10/1/20,355184,October,202010,2020,Marketing Cloud,Email,7,31
Recruiting,1/1/21,3432,January,202101,2021,Marketing Cloud,Email,29,54
WKSU,8/1/20,49861,August,202008,2020,Marketing Cloud,Email,6,30
WKSU,11/1/20,38603,November,202011,2020,Marketing Cloud,Email,40,76
IT,8/1/20,27782,August,202008,2020,Marketing Cloud,Email,16,30
Student Affairs,1/1/21,47,January,202101,2021,Marketing Cloud,Email,50,58
Student Affairs,1/1/21,34478,January,202101,2021,Marketing Cloud,Email,30,86
WKSU,12/1/20,106010,December,202012,2020,Marketing Cloud,Email,21,31
WKSU,9/1/20,136255,September,202009,2020,Marketing Cloud,Email,35,53
Student Affairs,12/1/20,11590,December,202012,2020,Flashline,Portal Alert,74,76
Student Affairs,9/1/20,1549831,September,202009,2020,Marketing Cloud,Email,57,99
IT,1/1/21,19871,January,202101,2021,TargetX Messaging,Text Message,11,21
Recruiting,12/1/20,80283,December,202012,2020,Marketing Cloud,Email,70,86
Student Affairs,11/1/20,245595,November,202011,2020,Marketing Cloud,Email,26,80
Recruiting,12/1/20,182327,December,202012,2020,Marketing Cloud,Email,18,28
IT,8/1/20,34478,August,202008,2020,Marketing Cloud,Email,44,85
WKSU,12/1/20,58502,December,202012,2020,Marketing Cloud,Email,0,87
Human Resources,11/1/20,350000,November,202011,2020,TargetX Email,Email,35,83
Human Resources,12/1/20,350000,December,202012,2020,Cognos Report to Email,Email,8,27
Student Affairs,11/1/20,106010,November,202011,2020,Marketing Cloud,Email,2,4
Academic Affairs,12/1/20,34478,December,202012,2020,Marketing Cloud,Email,0,13
Human Resources,1/1/21,136769,January,202101,2021,Phone,Phone Call,39,43
WKSU,8/1/20,136769,August,202008,2020,Marketing Cloud,Email,9,59
UCM,11/1/20,92268,November,202011,2020,Marketing Cloud,Email,18,20
Human Resources,12/1/20,47428,December,202012,2020,Marketing Cloud,Email,3,81
Recruiting,12/1/20,58502,December,202012,2020,Marketing Cloud,Email,0,17
IT,1/1/21,141779,January,202101,2021,Marketing Cloud,Email,18,52
Recruiting,8/1/20,20217,August,202008,2020,Marketing Cloud,Email,22,25
Human Resources,10/1/20,34478,October,202010,2020,Marketing Cloud,Email,0,27
IT,10/1/20,125000,October,202010,2020,Marketing Cloud,Email,35,59
IT,8/1/20,19871,August,202008,2020,Marketing Cloud,Email,2,5
WKSU,10/1/20,723568,October,202010,2020,Marketing Cloud,Email,12,17
Recruiting,1/1/21,136255,January,202101,2021,Marketing Cloud,Email,4,96
Student Affairs,8/1/20,38603,August,202008,2020,TargetX Messaging,Text Message,59,80
Student Affairs,1/1/21,74152,January,202101,2021,Marketing Cloud,Email,55,55
WKSU,10/1/20,3432,October,202010,2020,Marketing Cloud,Email,38,59
Student Affairs,12/1/20,1379954,December,202012,2020,Marketing Cloud,Email,0,6
Academic Affairs,10/1/20,47,October,202010,2020,Marketing Cloud,Email,6,87
Academic Affairs,1/1/21,20217,January,202101,2021,Marketing Cloud,Email,22,25
Recruiting,9/1/20,1549831,September,202009,2020,Marketing Cloud,Email,32,36
IT,11/1/20,136255,November,202011,2020,Marketing Cloud,Email,0,74
Recruiting,1/1/21,141779,January,202101,2021,Marketing Cloud,Email,15,70
Academic Affairs,9/1/20,17131,September,202009,2020,Marketing Cloud,Email,3,16
WKSU,8/1/20,246,August,202008,2020,Marketing Cloud,Email,30,38
UCM,9/1/20,74152,September,202009,2020,Marketing Cloud,Email,30,31
UCM,10/1/20,49861,October,202010,2020,Marketing Cloud,Email,7,14
UCM,9/1/20,245595,September,202009,2020,Marketing Cloud,Email,1,43
UCM,10/1/20,355184,October,202010,2020,Marketing Cloud,Email,79,94
Student Affairs,12/1/20,40000,December,202012,2020,Marketing Cloud,Email,64,90
Recruiting,9/1/20,3432,September,202009,2020,Marketing Cloud,Email,30,54
Recruiting,12/1/20,80283,December,202012,2020,Marketing Cloud,Email,0,10
Student Affairs,8/1/20,58502,August,202008,2020,Marketing Cloud,Email,41,51
WKSU,9/1/20,36625,September,202009,2020,Marketing Cloud,Email,9,11
UCM,1/1/21,36157,January,202101,2021,Marketing Cloud,Email,90,98
Human Resources,10/1/20,19871,October,202010,2020,Cognos Report to Email,Email,64,80
Student Affairs,12/1/20,42015,December,202012,2020,Marketing Cloud,Email,36,39
Human Resources,10/1/20,38603,October,202010,2020,Marketing Cloud,Email,29,46
UCM,12/1/20,136255,December,202012,2020,Marketing Cloud,Email,27,79
Student Affairs,1/1/21,27782,January,202101,2021,Marketing Cloud,Email,43,89
Recruiting,9/1/20,1379954,September,202009,2020,Marketing Cloud,Email,54,65
Human Resources,1/1/21,20217,January,202101,2021,Marketing Cloud,Email,14,32
IT,10/1/20,34478,October,202010,2020,Marketing Cloud,Email,0,65
Student Affairs,1/1/21,34478,January,202101,2021,Flashline,Portal Alert,49,50
Student Affairs,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,8,99
Human Resources,1/1/21,1006194,January,202101,2021,Marketing Cloud,Email,4,7
Recruiting,12/1/20,1029207,December,202012,2020,Marketing Cloud,Email,11,13
Recruiting,11/1/20,34478,November,202011,2020,Constant Contact,Email,1,19
WKSU,1/1/21,80283,January,202101,2021,Marketing Cloud,Email,44,78
WKSU,10/1/20,20217,October,202010,2020,Flashline,Portal Alert,23,38
Recruiting,1/1/21,1549831,January,202101,2021,Marketing Cloud,Email,43,88
Student Affairs,9/1/20,39863,September,202009,2020,Marketing Cloud,Email,62,62
IT,1/1/21,17131,January,202101,2021,Marketing Cloud,Email,69,81
WKSU,11/1/20,40000,November,202011,2020,Marketing Cloud,Email,16,32
Recruiting,1/1/21,47,January,202101,2021,Marketing Cloud,Email,28,30
Human Resources,9/1/20,36157,September,202009,2020,Marketing Cloud,Email,15,76
UCM,8/1/20,74152,August,202008,2020,Marketing Cloud,Email,15,24
Recruiting,1/1/21,36625,January,202101,2021,Marketing Cloud,Email,7,31
Recruiting,12/1/20,1029207,December,202012,2020,Marketing Cloud,Email,56,65
Academic Affairs,12/1/20,355184,December,202012,2020,Marketing Cloud,Email,7,17
Recruiting,12/1/20,38603,December,202012,2020,Marketing Cloud,Email,14,98
Student Affairs,1/1/21,87671,January,202101,2021,Marketing Cloud,Email,6,75
UCM,10/1/20,1549831,October,202010,2020,Marketing Cloud,Email,14,56
Recruiting,1/1/21,723568,January,202101,2021,Marketing Cloud,Email,53,69
Student Affairs,11/1/20,700000,November,202011,2020,Marketing Cloud,Email,50,90
WKSU,11/1/20,102360,November,202011,2020,Marketing Cloud,Email,5,42
Recruiting,10/1/20,1006194,October,202010,2020,Marketing Cloud,Email,52,57
WKSU,10/1/20,58502,October,202010,2020,Marketing Cloud,Email,31,93
UCM,9/1/20,1271250,September,202009,2020,Marketing Cloud,Email,67,86
WKSU,9/1/20,3432,September,202009,2020,Marketing Cloud,Email,26,65
IT,1/1/21,125000,January,202101,2021,Marketing Cloud,Email,73,77
Student Affairs,10/1/20,500000,October,202010,2020,Marketing Cloud,Email,38,39
IT,8/1/20,92268,August,202008,2020,Marketing Cloud,Email,26,65
IT,12/1/20,31377,December,202012,2020,Marketing Cloud,Email,0,1
IT,8/1/20,38603,August,202008,2020,Phone,Phone Call,11,12
Academic Affairs,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,1,5
Student Affairs,8/1/20,1271250,August,202008,2020,Marketing Cloud,Email,19,29
Recruiting,10/1/20,42015,October,202010,2020,Marketing Cloud,Email,28,93
Student Affairs,9/1/20,17131,September,202009,2020,Marketing Cloud,Email,2,14
Human Resources,9/1/20,723568,September,202009,2020,Constant Contact,Email,25,37
IT,12/1/20,355184,December,202012,2020,Marketing Cloud,Email,45,73
Academic Affairs,8/1/20,80283,August,202008,2020,Marketing Cloud,Email,13,25
Human Resources,11/1/20,0,November,202011,2020,Marketing Cloud,Email,7,56
WKSU,10/1/20,40000,October,202010,2020,Marketing Cloud,Email,69,83
IT,11/1/20,20217,November,202011,2020,Phone,Phone Call,4,91
Academic Affairs,12/1/20,49861,December,202012,2020,Marketing Cloud,Email,93,96
Recruiting,10/1/20,38603,October,202010,2020,Marketing Cloud,Email,60,67
Academic Affairs,8/1/20,17307,August,202008,2020,Marketing Cloud,Email,60,88
WKSU,1/1/21,500000,January,202101,2021,Marketing Cloud,Email,38,80
Academic Affairs,1/1/21,92268,January,202101,2021,Marketing Cloud,Email,47,73
Recruiting,9/1/20,373,September,202009,2020,Marketing Cloud,Email,26,48
Recruiting,8/1/20,136769,August,202008,2020,Marketing Cloud,Email,11,11
Human Resources,10/1/20,92268,October,202010,2020,Marketing Cloud,Email,55,87
Recruiting,8/1/20,3432,August,202008,2020,Marketing Cloud,Email,16,18
Recruiting,10/1/20,355184,October,202010,2020,Cognos Report to Email,Email,17,46
Student Affairs,12/1/20,39863,December,202012,2020,Marketing Cloud,Email,33,41
WKSU,12/1/20,49861,December,202012,2020,Marketing Cloud,Email,0,54
Human Resources,10/1/20,723568,October,202010,2020,Marketing Cloud,Email,2,5
UCM,9/1/20,102360,September,202009,2020,Marketing Cloud,Email,3,23
Student Affairs,9/1/20,102360,September,202009,2020,Marketing Cloud,Email,16,17
Student Affairs,1/1/21,500000,January,202101,2021,TargetX Messaging,Text Message,9,19
Recruiting,1/1/21,36157,January,202101,2021,Phone,Phone Call,13,37
Human Resources,8/1/20,1029207,August,202008,2020,Cognos Report to Email,Email,21,88
IT,11/1/20,245595,November,202011,2020,Marketing Cloud,Email,20,34
Student Affairs,9/1/20,245595,September,202009,2020,Marketing Cloud,Email,3,56
Recruiting,11/1/20,92268,November,202011,2020,Marketing Cloud,Email,6,85
Student Affairs,10/1/20,80283,October,202010,2020,TargetX Email,Email,9,66
UCM,1/1/21,373,January,202101,2021,Marketing Cloud,Email,43,70
Recruiting,11/1/20,40000,November,202011,2020,Phone,Phone Call,2,16
UCM,10/1/20,1379954,October,202010,2020,Marketing Cloud,Email,49,87
Recruiting,9/1/20,700000,September,202009,2020,Marketing Cloud,Email,37,46
WKSU,10/1/20,136769,October,202010,2020,Marketing Cloud,Email,26,42
UCM,12/1/20,42015,December,202012,2020,Marketing Cloud,Email,86,92
WKSU,11/1/20,36625,November,202011,2020,Marketing Cloud,Email,22,38
Academic Affairs,1/1/21,141779,January,202101,2021,Marketing Cloud,Email,50,53
Academic Affairs,11/1/20,39863,November,202011,2020,Phone,Phone Call,22,56
UCM,1/1/21,17131,January,202101,2021,Marketing Cloud,Email,63,94
Academic Affairs,1/1/21,0,January,202101,2021,Marketing Cloud,Email,42,94
IT,9/1/20,355184,September,202009,2020,Marketing Cloud,Email,1,17
UCM,10/1/20,723568,October,202010,2020,TargetX Messaging,Text Message,16,27
Human Resources,11/1/20,49861,November,202011,2020,Marketing Cloud,Email,23,33
Student Affairs,9/1/20,500000,September,202009,2020,Marketing Cloud,Email,8,21
Recruiting,9/1/20,92268,September,202009,2020,Marketing Cloud,Email,17,25
Academic Affairs,10/1/20,74152,October,202010,2020,Marketing Cloud,Email,4,61
WKSU,10/1/20,350000,October,202010,2020,Marketing Cloud,Email,1,13
Academic Affairs,11/1/20,92268,November,202011,2020,Marketing Cloud,Email,77,94
Student Affairs,11/1/20,1271250,November,202011,2020,Marketing Cloud,Email,5,59
Human Resources,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,11,54
WKSU,1/1/21,47428,January,202101,2021,Marketing Cloud,Email,14,71
Human Resources,1/1/21,245595,January,202101,2021,Marketing Cloud,Email,44,63
Student Affairs,11/1/20,19871,November,202011,2020,Marketing Cloud,Email,63,86
IT,11/1/20,36157,November,202011,2020,Marketing Cloud,Email,33,79
Recruiting,8/1/20,47,August,202008,2020,Marketing Cloud,Email,42,85
UCM,10/1/20,47428,October,202010,2020,Marketing Cloud,Email,12,75
Student Affairs,11/1/20,38603,November,202011,2020,Marketing Cloud,Email,16,19
Recruiting,10/1/20,1379954,October,202010,2020,Marketing Cloud,Email,24,24
IT,8/1/20,19871,August,202008,2020,Marketing Cloud,Email,34,36
IT,8/1/20,350000,August,202008,2020,TargetX Messaging,Text Message,7,51
Human Resources,11/1/20,125000,November,202011,2020,Marketing Cloud,Email,45,78
Human Resources,8/1/20,102360,August,202008,2020,Marketing Cloud,Email,16,47
Recruiting,8/1/20,42015,August,202008,2020,Phone,Phone Call,2,34
Academic Affairs,12/1/20,167464,December,202012,2020,Marketing Cloud,Email,44,59
IT,9/1/20,80283,September,202009,2020,Marketing Cloud,Email,5,25
Human Resources,1/1/21,36625,January,202101,2021,Cognos Report to Email,Email,38,58
Student Affairs,1/1/21,700000,January,202101,2021,Marketing Cloud,Email,51,65
Recruiting,12/1/20,87671,December,202012,2020,Marketing Cloud,Email,72,91
UCM,1/1/21,259644,January,202101,2021,Marketing Cloud,Email,78,95
Recruiting,9/1/20,100,September,202009,2020,Marketing Cloud,Email,24,54
Academic Affairs,1/1/21,1029207,January,202101,2021,Marketing Cloud,Email,7,17
Recruiting,9/1/20,42015,September,202009,2020,Marketing Cloud,Email,64,81
WKSU,1/1/21,42015,January,202101,2021,Marketing Cloud,Email,35,74
Recruiting,11/1/20,74152,November,202011,2020,Marketing Cloud,Email,6,6
Student Affairs,9/1/20,246,September,202009,2020,Marketing Cloud,Email,25,26
UCM,11/1/20,350000,November,202011,2020,Marketing Cloud,Email,13,18
Academic Affairs,10/1/20,17131,October,202010,2020,Marketing Cloud,Email,41,74
Recruiting,8/1/20,1549831,August,202008,2020,Constant Contact,Email,1,55
Recruiting,8/1/20,42015,August,202008,2020,Marketing Cloud,Email,9,66
Recruiting,1/1/21,373,January,202101,2021,Marketing Cloud,Email,34,70
Recruiting,9/1/20,136255,September,202009,2020,Marketing Cloud,Email,57,80
IT,11/1/20,31377,November,202011,2020,Marketing Cloud,Email,11,42
WKSU,10/1/20,102360,October,202010,2020,Marketing Cloud,Email,11,18
Academic Affairs,1/1/21,31377,January,202101,2021,Marketing Cloud,Email,5,7
WKSU,12/1/20,1271250,December,202012,2020,Marketing Cloud,Email,35,63
Recruiting,1/1/21,1006194,January,202101,2021,Cognos Report to Email,Email,18,54
Recruiting,9/1/20,34478,September,202009,2020,Marketing Cloud,Email,81,83
UCM,1/1/21,350000,January,202101,2021,Marketing Cloud,Email,12,32
IT,1/1/21,34478,January,202101,2021,Marketing Cloud,Email,28,68
Student Affairs,11/1/20,373,November,202011,2020,Marketing Cloud,Email,3,58
Student Affairs,11/1/20,167464,November,202011,2020,Marketing Cloud,Email,41,99
IT,1/1/21,40000,January,202101,2021,Marketing Cloud,Email,23,74
Recruiting,10/1/20,38603,October,202010,2020,Marketing Cloud,Email,34,62
Recruiting,1/1/21,167464,January,202101,2021,Phone,Phone Call,19,72
Human Resources,11/1/20,246,November,202011,2020,Marketing Cloud,Email,9,83
Student Affairs,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,9,95
UCM,12/1/20,20217,December,202012,2020,Marketing Cloud,Email,5,16
UCM,10/1/20,47428,October,202010,2020,Marketing Cloud,Email,1,25
WKSU,11/1/20,19871,November,202011,2020,Marketing Cloud,Email,83,97
WKSU,10/1/20,1549831,October,202010,2020,Marketing Cloud,Email,28,49
Recruiting,9/1/20,31377,September,202009,2020,Marketing Cloud,Email,7,59
UCM,11/1/20,102360,November,202011,2020,Marketing Cloud,Email,29,92
IT,10/1/20,34478,October,202010,2020,Marketing Cloud,Email,22,24
Human Resources,11/1/20,92268,November,202011,2020,Marketing Cloud,Email,26,95
WKSU,9/1/20,58502,September,202009,2020,Cognos Report to Email,Email,66,98
Student Affairs,12/1/20,80283,December,202012,2020,Marketing Cloud,Email,11,14
IT,1/1/21,38603,January,202101,2021,Marketing Cloud,Email,10,98
IT,11/1/20,136769,November,202011,2020,Marketing Cloud,Email,35,53
Student Affairs,12/1/20,167464,December,202012,2020,TargetX Messaging,Text Message,72,76
Human Resources,8/1/20,350000,August,202008,2020,Marketing Cloud,Email,12,16
Recruiting,12/1/20,245595,December,202012,2020,Marketing Cloud,Email,18,23
Student Affairs,12/1/20,500000,December,202012,2020,Marketing Cloud,Email,25,45
Academic Affairs,9/1/20,92268,September,202009,2020,Marketing Cloud,Email,4,17
Student Affairs,10/1/20,3432,October,202010,2020,Marketing Cloud,Email,78,86
WKSU,10/1/20,19871,October,202010,2020,Marketing Cloud,Email,18,21
Recruiting,10/1/20,39863,October,202010,2020,Marketing Cloud,Email,0,39
Recruiting,11/1/20,3432,November,202011,2020,Marketing Cloud,Email,17,53
Student Affairs,8/1/20,74152,August,202008,2020,Marketing Cloud,Email,62,70
Recruiting,8/1/20,74152,August,202008,2020,Marketing Cloud,Email,6,12
Human Resources,12/1/20,246,December,202012,2020,Marketing Cloud,Email,0,1
Human Resources,9/1/20,106010,September,202009,2020,Marketing Cloud,Email,0,35
IT,1/1/21,246,January,202101,2021,Marketing Cloud,Email,62,93
WKSU,8/1/20,34478,August,202008,2020,Marketing Cloud,Email,31,71
Student Affairs,1/1/21,19871,January,202101,2021,Marketing Cloud,Email,35,72
UCM,8/1/20,49861,August,202008,2020,Marketing Cloud,Email,14,37
Academic Affairs,11/1/20,245595,November,202011,2020,Marketing Cloud,Email,1,3
Academic Affairs,8/1/20,350000,August,202008,2020,Marketing Cloud,Email,48,72
WKSU,8/1/20,136255,August,202008,2020,Marketing Cloud,Email,42,97
Human Resources,1/1/21,0,January,202101,2021,Marketing Cloud,Email,78,97
Human Resources,9/1/20,19871,September,202009,2020,Marketing Cloud,Email,12,28
